Date,Drillhole_USC,Average of Daily rainfall,Average of Total Head
2023-07-15 12:00:00,P3_CH,0,1144.83993520876
2023-07-15 13:00:00,BH20-29_CH,0,1142.65177175762
2023-07-15 13:00:00,BH20-29_ExWR,0,1142.379392085
2023-07-15 13:00:00,BH20-29_GP-GC,0,1142.4309296029
2023-07-15 13:00:00,BH20-29_WR,0,1142.08045526177
2023-07-15 13:00:00,P3_CH,0,1144.83727275733
2023-07-15 14:00:00,BH20-29_CH,0,1142.64818280109
2023-07-15 14:00:00,BH20-29_ExWR,0,1142.37562599527
2023-07-15 14:00:00,BH20-29_GP-GC,0,1142.42768103735
2023-07-15 14:00:00,BH20-29_WR,0,1142.0770502341
2023-07-15 14:00:00,P3_CH,0,1144.83446560486
2023-07-15 15:00:00,BH20-29_CH,0,1142.64456179743
2023-07-15 15:00:00,BH20-29_ExWR,0,1142.37177682649
2023-07-15 15:00:00,BH20-29_GP-GC,0,1142.4242413771
2023-07-15 15:00:00,BH20-29_WR,0,1142.07362972553
2023-07-15 15:00:00,P3_CH,0,1144.83128223283
2023-07-15 16:00:00,BH20-29_CH,0,1142.64100487953
2023-07-15 16:00:00,BH20-29_ExWR,0,1142.3683707245
2023-07-15 16:00:00,BH20-29_GP-GC,0,1142.42096095786
2023-07-15 16:00:00,BH20-29_WR,0,1142.07028660065
2023-07-15 16:00:00,P3_CH,0,1144.82792521861
2023-07-15 17:00:00,BH20-29_CH,0,1142.63844133337
2023-07-15 17:00:00,BH20-29_ExWR,0,1142.36529692275
2023-07-15 17:00:00,BH20-29_GP-GC,0,1142.41796717505
2023-07-15 17:00:00,BH20-29_WR,0,1142.06725302146
2023-07-15 17:00:00,P3_CH,0,1144.82462608022
2023-07-15 18:00:00,BH20-29_CH,0,1142.63610209624
2023-07-15 18:00:00,BH20-29_ExWR,0,1142.36263849776
2023-07-15 18:00:00,BH20-29_GP-GC,0,1142.41545112197
2023-07-15 18:00:00,BH20-29_WR,0,1142.06468376346
2023-07-15 18:00:00,P3_CH,0,1144.82170315627
2023-07-15 19:00:00,BH20-29_CH,0,1142.64145349996
2023-07-15 19:00:00,BH20-29_ExWR,0,1142.36166927989
2023-07-15 19:00:00,BH20-29_GP-GC,0,1142.41430456565
2023-07-15 19:00:00,BH20-29_WR,0,1142.06347652106
2023-07-15 19:00:00,P3_CH,0,1144.8196773657
2023-07-15 20:00:00,BH20-29_CH,0,1142.64837506669
2023-07-15 20:00:00,BH20-29_ExWR,0,1142.36258311389
2023-07-15 20:00:00,BH20-29_GP-GC,0,1142.41484599506
2023-07-15 20:00:00,BH20-29_WR,0,1142.06381702537
2023-07-15 20:00:00,P3_CH,0,1144.81796991256
2023-07-15 21:00:00,BH20-29_CH,0,1142.64356842425
2023-07-15 21:00:00,BH20-29_ExWR,0,1142.36573999341
2023-07-15 21:00:00,BH20-29_GP-GC,0,1142.41752129233
2023-07-15 21:00:00,BH20-29_WR,0,1142.06596839271
2023-07-15 21:00:00,P3_CH,0,1144.81768051363
2023-07-15 22:00:00,BH20-29_CH,0,1142.64584356897
2023-07-15 22:00:00,BH20-29_ExWR,0,1142.36859225968
2023-07-15 22:00:00,BH20-29_GP-GC,0,1142.42000549548
