Date,Drillhole_USC,Average of Daily rainfall,Average of Total Head
2024-08-22 00:00:00,P59_SC,,1156.58618098478
2024-08-22 00:00:00,P59_SM,,1153.98650287185
2024-08-23 00:00:00,BH21-P60_CH,,1150.976155485645
2024-08-23 00:00:00,BH21-P60_GP-GC,,1156.15989680198
2024-08-23 00:00:00,P47_CH,,1146.59625923446
2024-08-23 00:00:00,P47_SC,,1154.63196494616
2024-08-23 00:00:00,P59_CL,,1154.89191852917
2024-08-23 00:00:00,P59_SC,,1156.58371946176
2024-08-23 00:00:00,P59_SM,,1153.98753160697
2024-08-24 00:00:00,BH21-P60_CH,,1150.99218878994
2024-08-24 00:00:00,BH21-P60_GP-GC,,1156.21930227095
2024-08-24 00:00:00,P47_CH,,1146.65328532728
2024-08-24 00:00:00,P47_SC,,1154.69620893498
2024-08-24 00:00:00,P59_CL,,1154.93483914239
2024-08-24 00:00:00,P59_SC,,1156.61915311033
2024-08-24 00:00:00,P59_SM,,1154.02337643183
2024-08-25 00:00:00,BH21-P60_CH,,1150.9841160803098
2024-08-25 00:00:00,BH21-P60_GP-GC,,1156.19878713083
2024-08-25 00:00:00,P47_CH,,1146.62714844877
2024-08-25 00:00:00,P47_SC,,1154.67068704352
2024-08-25 00:00:00,P59_CL,,1154.92133164653
2024-08-25 00:00:00,P59_SC,,1156.60976291619
2024-08-25 00:00:00,P59_SM,,1154.01051733862
2024-08-26 00:00:00,BH21-P60_CH,,1150.98221445506
2024-08-26 00:00:00,BH21-P60_GP-GC,,1156.18341127175
2024-08-26 00:00:00,P47_CH,,1146.57574969125
2024-08-26 00:00:00,P47_SC,,1154.65569991153
2024-08-26 00:00:00,P59_CL,,1154.90800622727
2024-08-26 00:00:00,P59_SC,,1156.60040309192
2024-08-26 00:00:00,P59_SM,,1153.99887982378
2024-08-27 00:00:00,BH21-P60_CH,,1150.96687110736
2024-08-27 00:00:00,BH21-P60_GP-GC,,1156.17151324775
2024-08-27 00:00:00,P42_CH,,1161.53144892837
2024-08-27 00:00:00,P42_CL,,1156.49842041692
2024-08-27 00:00:00,P42_SC,,1158.3133811913
2024-08-27 00:00:00,P47_CH,,1146.55358303247
